model_code	model_id	model_initial_id	model_name	model_quarter
MOD_201183	-21183	1183	Смеситель для кухни	-2.0
MOD_201184	-21184	1184	Керосиновая печь	-2.0
MOD_201185	-21185	1185	Инфракрасный газовый нагреватель	-2.0
MOD_201186	-21186	1186	Инфракрасный газовый нагреватель уличный	-2.0
MOD_201187	-21187	1187	Газовая пушка	-2.0
MOD_201188	-21188	1188	Дизельная тепловая пушка	-2.0
MOD_201189	-21189	1189	Водяной радиатор	-2.0
MOD_201190	-21190	1190	Водяные полотенцесушители	-2.0
MOD_201191	-21191	1191	увлажнители воздуха для радиаторов	-2.0
MOD_201192	-21192	1192	Термоголовка	-2.0
MOD_201193	-21193	1193	Элементы подключения к радиатору	-2.0
MOD_201194	-21194	1194	Крышка радиатора	-2.0
MOD_201195	-21195	1195	Регулятор давление радиатора	-2.0
MOD_201196	-21196	1196	запорно-регулирующая арматура	-2.0
MOD_201197	-21197	1197	Крепление радиатора	-2.0
MOD_201198	-21198	1198	Муфта переходная	-2.0
MOD_201199	-21199	1199	Декоративная панель для радиатора	-2.0
MOD_201200	-21200	1200	Комплект крепления сушилки для полотенец	-2.0
MOD_201201	-21201	1201	Отражатель для радиатора	-2.0
MOD_201202	-21202	1202	Термостатический клапан для радиаторов	-2.0
MOD_201203	-21203	1203	Полотенцесушитель для горячей воды смешанного типа	-2.0
MOD_201204	-21204	1204	Газовая колонка	-2.0
MOD_201205	-21205	1205	Электрический водонагреватель	-2.0
MOD_201206	-21206	1206	Электрический проточный водонагреватель	-2.0
MOD_201207	-21207	1207	Вставки изолирующие диэлектрические для электроводонагрвателя	-2.0
MOD_201208	-21208	1208	Акссесуары для водонагревателей	-2.0
MOD_201209	-21209	1209	Комплект бойлера на солнечной энергии	-2.0
MOD_201210	-21210	1210	душевая лейка	-2.0
MOD_201211	-21211	1211	Набор из насадки для душа и гибкого шланга	-2.0
MOD_201212	-21212	1212	Набор из насадки для душа, штанги и гибкого шланга	-2.0
MOD_201213	-21213	1213	Шланг для душа	-2.0
MOD_201214	-21214	1214	Штанга для душа	-2.0
MOD_201215	-21215	1215	Стойка для душа	-2.0
MOD_201216	-21216	1216	Аксессуары для стойки душа	-2.0
MOD_201217	-21217	1217	Лейка для верхнего душа	-2.0
MOD_201218	-21218	1218	Кран для писсуаров	-2.0
